,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
30,,"Sadus Attack","2023-01-03 22:33:25",0,no,no,"I've had enough Batman. Never really cared for him.",UCfjkSNwJPZF-NxBdof7Y6fg,UgzWTv3SBfXIPMvNNnF4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzWTv3SBfXIPMvNNnF4AaABAg
31,,"Deborah Janes","2023-01-03 22:35:50",6,no,no,"The Loki series can play a big part in setting it all up!",UC-1xEhd3vMm2zdGxkRiF9dw,UgyRIfFIX-i4LYGuK7V4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyRIfFIX-i4LYGuK7V4AaABAg
32,,"Ne'emah Bethea","2023-01-03 22:50:58",0,no,no,"Secret Wars is probably gonna be 10 hours long.",UCCtirR6TQqMs6ZRyD28tSbg,UgxVTaawCTScpELdDm54AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxVTaawCTScpELdDm54AaABAg
33,,akumaxv,"2023-01-03 22:59:35",0,no,no,"I just hope that Kang Dynasty is actually a Dynasty. Age of Ultron was a few days, at best. MOM wasn’t really any madness and the multiverses we actually spent time in were kind of meh. Pizza balls and reverse crossing lights don’t count. That was lazy as hell.",UCRbDqdpHFuYEgS3xHlmGcaQ,UgzP6Kxnk4tiGH0N5Vt4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzP6Kxnk4tiGH0N5Vt4AaABAg
34,,itsCarni,"2023-01-03 23:05:58",3,no,no,"With Dc doing a reboot and possibly marvel, i wonder if its a plan between Gunn and Kevin to create a storyline that would eventually end with a crossover that would make sense for both DC and Marvel.",UCT50k4Q5EentPwy1OgqhDmA,UgyNpJlpfJ701SCUmrt4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyNpJlpfJ701SCUmrt4AaABAg
35,,AlSween,"2023-01-03 23:09:08",0,no,no,"I want RDJ back. :)",UCZYaXl05AEicbcOW9z3eDIQ,UgyP7ZTZ7ValOlU_7K94AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyP7ZTZ7ValOlU_7K94AaABAg
36,,"Steve White","2023-01-03 23:11:37",0,no,no,"What more do u want that's enough",UCKhazA3L388CdUzNs07DWvg,Ugw77EZUZHcy_05bXq54AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugw77EZUZHcy_05bXq54AaABAg
37,,ABY_Vlogs,"2023-01-03 23:13:07",1,no,no,"Are we ever going to be seeing galactus in the MCU, I hope so",UCR7iiT__o1LhKU1yn2RACbQ,Ugx--oGJnRP22s2WWhB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugx--oGJnRP22s2WWhB4AaABAg
38,,"Ken Hall","2023-01-03 23:30:13",0,no,no,"I think the whole Kang thing is a big misdirect and there is something even worse on the horizon!",UC-BBRObIBOT78kC3Y7CG2QQ,UgwceAJRWvNOsrxOBgZ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwceAJRWvNOsrxOBgZ4AaABAg
39,,"Dram Ravett","2023-01-03 23:36:04",0,no,no,"is it  the decade of the Multiverse. im ok with that....",UCDUzc4JtrzX5C2CwyqUni9g,UgwqPKGgUt4Fcqf1k3t4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwqPKGgUt4Fcqf1k3t4AaABAg
40,,"Dan Smith","2023-01-03 23:58:16",0,no,no,"I still think it’s a shame they brought all the Jessica Jones, Iron Fist and that lot then only used The Devil when actually they’d just spent four series giving back stories and a couple of programmes of them together as a group and that’s it",UC0YN9_EiH9kKW1FttVGJVuA,UgwnFy9LhA8w6f0KQP94AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwnFy9LhA8w6f0KQP94AaABAg
41,,"Eric Weaver","2023-01-04 00:00:34",0,no,no,"Expecting an extensive reboot in 2028. Feige will step down and hand over the reigns. MCU will be 20; time to reset the clock. Any contracts known to extend beyond that date?",UCSuD_8DjuvvgYKvgLVRg2nQ,UgyNtfFzh6f3a4FxVuV4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyNtfFzh6f3a4FxVuV4AaABAg
42,,"Brandon Abner","2023-01-04 00:03:07",0,no,no,"I'm good off Tony stark. Let the dead rest",UCEws0Fvrv5a71uqnGSfvWsQ,UgxFtyngW4Ac7-Emzwh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxFtyngW4Ac7-Emzwh4AaABAg
43,,"Cruz Jacknife","2023-01-04 00:18:14",2,no,no,"The image of Wong pouring one back with a stressful grimace coupled with the idea of him carrying the MCU on his back absolutely broke me",UCwcapopXsz2DWgqdrgkX_tA,UgzTKO63dWqmWXivDEN4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzTKO63dWqmWXivDEN4AaABAg
44,,"Aaron Bennett","2023-01-04 00:25:09",0,no,no,"I still say that Chris Evans should reprise the role of Johnny Blaze as a variant & have him in shots with Chris ALSO playing old 616 Captain America...",UCkv0nMlbYYJW9UwSDM3uxOA,Ugy9Mytz7_92YaGOWSF4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugy9Mytz7_92YaGOWSF4AaABAg
45,,Diablo,"2023-01-04 00:27:45",0,no,no,"Can we get the Netflix Defenders in secret wars please",UCexD8umSY7Q_kWBghTngFKw,UgzheeqTjkzPFAbfv6R4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzheeqTjkzPFAbfv6R4AaABAg
46,,JustoDaGod93,"2023-01-04 00:27:55",0,no,no,"Love Daniel Craig hopefully he joins the MCU",UC0yRQmbD0sEyAXWvdBXpnbQ,Ugz6SyAQcy2lG_Xmksx4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz6SyAQcy2lG_Xmksx4AaABAg
47,,"Nathan O","2023-01-04 00:31:11",0,no,no,"Marvel is in a good place right now, everything that comes out now from marvel should be a pleasant surprise",UC33sKqih1s6HWms4gmbGcQQ,UgwabssJ5SJrNQFhJfd4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwabssJ5SJrNQFhJfd4AaABAg
48,,LilPvnk,"2023-01-04 00:50:38",0,no,no,"As much as I love Robert jr. And Hugh jackman along with the spider triplets, my hopes will be low u til fully confirmed to come back in secret wars",UCgwvcApR3Mr3ZcbjETdBPFA,Ugz1xcWOD2NckecwVrN4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz1xcWOD2NckecwVrN4AaABAg
