,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
67,,"oOo Taff oOo","2023-01-04 12:52:25",0,no,no,"RIP to an absolute legend most skillful driver I ever seen in my life time ... rest in peace brother from all valley boys back in South Wales UK",UCrdx9Ln3WhlT1tgPvTq1Erg,UgxOKqYRBY4e0Gp5Ild4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxOKqYRBY4e0Gp5Ild4AaABAg
68,,"C SMITH","2023-01-04 12:54:54",1,no,no,"What is going on.... never seen so many deaths / accidents at the start of a new year",UCNicM0Fc5ZKV5in_GryKrLQ,UgzZsW6nV4GMh_uXt_54AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzZsW6nV4GMh_uXt_54AaABAg
69,,"David Dawson","2023-01-04 12:57:54",0,no,no,"Only got to see Ken through his guest appearances on the BBC Top Gear show but his car control and bravery where unbelievable so sad to be taken from his family too soon he will certainly never be forgotten. God bless him.",UCUGMDUJEqsfNk00O39NHB2g,UgyQVloMnlu1nMUCBRF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyQVloMnlu1nMUCBRF4AaABAg
70,,"Jasiah Feliciano","2023-01-04 13:04:23",0,no,no,Rip😢,UC1lIayQK-5zLQBEt1e1Sybg,UgyblI1dELid_cJnLUF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyblI1dELid_cJnLUF4AaABAg
71,,"Bryce Wood","2023-01-04 13:06:31",0,no,no,"Well there goes 2023 already....RIP Mr Hoonigan, you will be missed.",UCfksv8mMwjECNnyBOgkFoRg,Ugyi508dGmK0llHj1XF4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugyi508dGmK0llHj1XF4AaABAg
72,,"tristan marty mercado","2023-01-04 13:10:36",0,no,no,"RIP thank for Showing US your driving skills",UCzBTGSYelqcy3jgnGyyEYqA,UgxtBu1nO-eWaBuZlEd4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxtBu1nO-eWaBuZlEd4AaABAg
73,,"O W","2023-01-04 13:12:31",0,no,no,"A snowmobile is a rescue vehicle and not made for stunts....",UC6dDJIvRHU13d1bY-3dssSQ,UgzkVJEaQTqTLcafH3N4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgzkVJEaQTqTLcafH3N4AaABAg
74,,donoho93,"2023-01-04 13:12:31",0,no,no,"damn wtf",UCckEIbpGjJ4GJNrsnxvgAnQ,Ugy3IRbn6Zdr9RJ2CFR4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugy3IRbn6Zdr9RJ2CFR4AaABAg
75,,"Jason Rivera","2023-01-04 13:12:46",0,no,no,"RIP Ken",UCCQM7JhDFJKQcG9kQdWB3fA,UgwluhbgG_r2LNkvNa94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwluhbgG_r2LNkvNa94AaABAg
76,,"Creator A0R61.00","2023-01-04 13:16:19",0,no,no,"r.i.p for the legend",UCoH81viRPJ512i8A4ijRkfA,Ugws2kOjqK3mtr3aYqZ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugws2kOjqK3mtr3aYqZ4AaABAg
77,,"Dave Murphy","2023-01-04 13:23:35",0,no,no,"Thats hilarious sucks to be him lololololololololololololololololol",UCg7BI8k36mVSsqE-bSusVww,UgwvOka01EMeu3bL56R4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwvOka01EMeu3bL56R4AaABAg
78,,Heartless,"2023-01-04 13:25:47",1,no,no,"RIP Ken prayers sent to your family🙏🏿❤",UCM2ZYxts9hPQ2eyJpuTuAxw,UgwnbZBOty2GBETVdIB4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwnbZBOty2GBETVdIB4AaABAg
79,,"Alien Network","2023-01-04 13:26:30",0,no,no,"NOOO!!! You gotta be fucking kidding me man wow . Rest In Peace brotha. Wow sending positive energy to the family and friends",UCYhupi4h8eCnxyCmRovXvuw,UgwHbrg0OCeW0nrMUEl4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgwHbrg0OCeW0nrMUEl4AaABAg
80,,Whiteblade,"2023-01-04 13:26:40",0,no,no,"we know when the clouds roll out that the legend Ken Block is doing his thing up there!!!😇😇😇",UCK3ss6wgH_ZSE_Iu2RRSZxA,Ugxcm4EmK8htvDGUZhV4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=Ugxcm4EmK8htvDGUZhV4AaABAg
81,,"C Noshoes","2023-01-04 13:27:20",0,no,no,"Recon his crazy cool daughter could take over the Moulton rubber stripes !! X",UC0WyN0v7o1jll4HOl9_e0dQ,UgyrOeJpZDH-nVPFpr94AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyrOeJpZDH-nVPFpr94AaABAg
82,,"Alien Network","2023-01-04 13:27:22",0,no,no,"God damn man rip .. god damn it man",UCYhupi4h8eCnxyCmRovXvuw,UgxGM8mGRJfYSMc1yu14AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxGM8mGRJfYSMc1yu14AaABAg
83,,"Neural Sensei","2023-01-04 13:29:34",0,no,no,"It's always the vehicles with least safety that kill someone, but he liked living life dangerously.",UCvnMfkWZzpPVWUtSWcuPGgA,UgyKSxBNsyNRb1BspdB4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgyKSxBNsyNRb1BspdB4AaABAg
84,,"Juced Customs","2023-01-04 13:31:38",0,no,no,"Only the good die young.",UC5d9P7k4qdYb4HLTERtuTZA,UgxZX2lNKIsgXd0_QvJ4AaABAg,https://www.youtube.com/watch?v=apFseszZ7eU&lc=UgxZX2lNKIsgXd0_QvJ4AaABAg
