,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
29,,"Lyslie Pope","2023-01-04 04:40:44",0,no,no,"Gee,McCarthy, all that butt kissing and nothing to show for it.
Let's be honest about this situation;in this country,there's a Democratic Party and a bunch of facist neonazis thugs who are Republican in name only. 
I say screw these thugs ,let them devour each other.
Word up ""mtg"", your ""do"" is done.",UCTxzT69Em7wiPOn2H9kN7Wg,UgzN0SKKwT8KfoICKG54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzN0SKKwT8KfoICKG54AaABAg
30,,"Bob Danley","2023-01-04 04:42:08",0,no,no,"True to form, former President sticks it to Rep. McCarthy...after the guy repeatedly goes to Mar-A-Lago to kiss the ring",UCoDEHZOLIVeTYetuG0o1dEQ,UgwdQlvMTATQQ2knWMB4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwdQlvMTATQQ2knWMB4AaABAg
31,,"Deborah Barbour","2023-01-04 04:43:38",2,no,no,"McCarthy needs to move his crap out of the Speaker's office.  How humiliating!😵😱😁",UC8Wb1pgwji_9aMcyYQF4bAg,UgxVfzs4-3D2FWeb_-R4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxVfzs4-3D2FWeb_-R4AaABAg
32,,"Ron Leight","2023-01-04 04:45:20",0,no,no,"Didn't kevin get coffee for the orange one a time or two?? Hahaha",UCLvlzDzp3dza0uhgCdWmkhg,Ugze_LZ7Gr93LMy7Jlp4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugze_LZ7Gr93LMy7Jlp4AaABAg
33,,"Angelia Stuart","2023-01-04 04:55:02",0,no,no,"Crooked traitor trump is a death sentence fir republicans",UCZHJhzgIJlzKCjchUfgRsHg,UgyD2ob_c_Da3JQ3lH54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyD2ob_c_Da3JQ3lH54AaABAg
34,,"manivannan chokkalingam","2023-01-04 04:55:30",0,no,no,"mcarthy will have to clean trump towers or his florida club before he gets trumpers support & then will have to be forever indebted to them",UCtrnwMA-QNDeaNmF7MuhZ2w,Ugz1CdAGlBaT_iqjVIZ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugz1CdAGlBaT_iqjVIZ4AaABAg
35,,Wilt,"2023-01-04 05:03:11",0,no,no,"Lmao “we’ll see” he makes it so obvious",UCKx95AgnMfaJ1JZ4E5BVl0Q,Ugzd0tB93C9JSkAdixF4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugzd0tB93C9JSkAdixF4AaABAg
36,,Pete,"2023-01-04 05:03:26",0,no,no,"Trump will support him AFTER (if) he gets voted in.",UCyPzsRZpTrCWfL8UWSrkrEg,Ugzbm0ZYHAN9B-PHKOd4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugzbm0ZYHAN9B-PHKOd4AaABAg
37,,Founder,"2023-01-04 05:04:57",0,no,no,"McCarthy does not want the kiss of death.",UC9aiWvRwj-ztQ9QYLjJyIHQ,UgyZKE99fEpyKlLLtBZ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyZKE99fEpyKlLLtBZ4AaABAg
38,,"just sayin'","2023-01-04 05:10:34",1,no,no,"I hope it does get to option #3 and the dems get to have a say. Hopefully it will be someone out of the woodwork with a semblance of a spine and moral compass.",UCTm6bicNN2-Bw1iMetXHImA,UgycvNuebJjqoKsZBn14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgycvNuebJjqoKsZBn14AaABAg
