,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
25,,"Aliff Khafifi","2022-12-19 06:10:46",0,no,no,"Buatlah rumah flat atau apartment,dulu kl selangor ngan singapore camni gak ,tapi kesan kerugian dapat diminimakan,mula2 memang orang bantah tapi lama2 anak cucu faham lah",UCCDJikLR6hlinAnlhN6DqeQ,UgwHVPFpUdOzWK0rt7l4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwHVPFpUdOzWK0rt7l4AaABAg
26,,"Emilia Hassan","2022-12-19 06:12:48",0,no,no,"Teringat banjir 2014 banjir masuk dalam rumah nii .ya Allah mudahan yg terkena banjir cekal hati",UCVTnfsvWE0lt6tx0Ussh29g,Ugx7wHT_qxS3MtLR77R4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugx7wHT_qxS3MtLR77R4AaABAg
27,,"Teresa Kok","2022-12-19 06:18:40",4,no,no,"Please be safe  take care, life matters...don't salvage belongings if in dangerous situations!",UCR29vU1jHbe79XfAK4ZEK0A,UgztKyRxN8BjIDmArnZ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgztKyRxN8BjIDmArnZ4AaABAg
28,,Amethyst,"2022-12-19 06:24:31",3,no,no,"AllahuAkbar...tak sangka ramai orang Melayu dalam Malaysia ni rupanya memang dah jatuh kafir, takde rasa takut langsung hina dan mainkan nama Allah SWT sejak PH memerintah 😳 Ternyata PAS tak berbohong tentang kekafiran puak2 ni 😳",UCoYwHMy4VD1TDP5JNNX2Bhg,UgyO60hYuDVUEZ5Hobx4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyO60hYuDVUEZ5Hobx4AaABAg
29,,"wahid othman","2022-12-19 06:26:01",2,no,no,"Ustaz PAS terlalu sibuk berpolitik & cuba nk jatuh kan kerajaan perpaduan hinggaksn negeri2 yg mereka perintah langsung depa tak peduli langsung...sepatutnya kerajaan negeri dh bersiap sedia menghadapi banjir yg memang berlaku setiap tahun....lebih2 lagi telah mendapat maklumat kaji cuaca....banjir memsng tak dpt dielakkan.... 
Inilah bahana pemerintahan diberi pd orang2 yg tak bolih menjalankan tugas  & hanya pandai bercakap...dgn menyalahkan orang lain semata2. 
Bagi",UCRDIYnjqaj_zD2XEhUXzl9Q,Ugxs6tWjuZwYPpJHEJZ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugxs6tWjuZwYPpJHEJZ4AaABAg
30,,"Syahrul Rul","2022-12-19 06:27:59",8,no,no,"Pn ngan pas sibok nak tumbang kan kerajaan tak fikirkan masalah banjir puak2 pengkhianat",UCOKFkYTnK5ga-J-cVtV-O9g,UgxmXh8G_TCQeGsAlzh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxmXh8G_TCQeGsAlzh4AaABAg
31,,"Lim Brandon","2022-12-19 06:30:40",3,no,no,"Lebai X2 sila membantu, jangan man ceramah saja",UCxbnA0AKJeaf5e59gmsDnQQ,UgyswSJpF59JNJzbz3V4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyswSJpF59JNJzbz3V4AaABAg
32,,"Cyan Finch Ling","2022-12-19 06:31:34",0,no,no,"Semoga bajir 2014 tidak berulang lagi",UCyCO5-ofbS5DvZtrQN4ipyA,Ugx2_8Cakd9rDDx-Ks94AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugx2_8Cakd9rDDx-Ks94AaABAg
33,,"Wahidon Wahidon","2022-12-19 06:33:26",1,no,no,Allahuakbar,UCVK7QHrXTkz8SiL-BFZiC4g,UgxACWylrJMlH68EW_J4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxACWylrJMlH68EW_J4AaABAg
34,,"Shuhairi Shuhairi","2022-12-19 07:12:00",1,no,no,"Masa selangor banjir hari tu,  berapa kerat je penyelamat...bot pun kira dgn jari..40 org mati..takkan dah lupa..nasib baik banjir masa ph menerintahkannnnn..ada juga persediaan..menteri pun x tunai umrah masa sukar begini..kannnn🤣TAPI ADA J7GA AHLI POLITIK KESAYANGAN TOKE JUDI YG SIBUK TENGOK BOLA DARI MEMBANTY RAKYAT...",UC7A9IBBII_WYyzCcxxnPHkw,UgycfPD_v8OPQ53C8Ol4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgycfPD_v8OPQ53C8Ol4AaABAg
35,,"jiraya joseph","2022-12-19 07:40:52",2,no,no,"Nampaknya ramai org suke pantai timur kene banjir besar,teruknya perangai sebabkan politik je padahal",UCNIc4weVuUrE4FuyRa-Auhw,UgxlDXGnYRib_3JAcGd4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxlDXGnYRib_3JAcGd4AaABAg
36,,"Muhd fahmi radzi mat hussin","2022-12-19 07:48:43",0,no,no,"masjid pasir Puteh kelantan",UClUIploQS2QKjMZTcgTmjkg,Ugzgbm0GN0PGZjQR8iF4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugzgbm0GN0PGZjQR8iF4AaABAg
37,,"Abu Zikri","2022-12-19 08:04:16",0,no,no,"Semoga selamat semua",UCRT_EoNGRoTiYhXTzuusLgA,UgzzDz_H5p6IRSe83Hh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzzDz_H5p6IRSe83Hh4AaABAg
38,,"LOO LEE","2022-12-19 08:06:14",0,no,no,"LEBAI SEBOK NK JAHANAMKN KERAJAAN YDPA NEGERI YG DIPIMPIN LEBAI PAS DTIMPA MUSIBAH BANJIR RAKYAT JUGA JADI MANGSA PEMIMPIN RAKUS KUASA...
MUDAH²AN ALLAH MELINDUNGI NYAWA MANGSA² RUMAH TERKENA BANJIR...",UCM5YNeOP9cSks-ef-iJeBPA,Ugy6nboUj4W-MJPbPpJ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugy6nboUj4W-MJPbPpJ4AaABAg
39,,"Artemis Napolean","2022-12-19 08:07:40",10,no,no,"Nampaknya orang timur puas hati dengan cara kerajaan menguruskan masalah banjir, sebab itu memilih kerajaan negeri yang sama! Tahniah pilihan pengundi!",UCe0wJwF6p1EEZKZjrgmckcQ,UgzA-o_S4d3AxmA6CvJ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzA-o_S4d3AxmA6CvJ4AaABAg
40,,"Mista Killa","2022-12-19 08:12:28",3,no,no,"Kesian. Pemimpin mereka sibuk gila kuasa. Dengar dewan rakyat pun meluat, tiada sorg pun dari pemimpin kelantan dan terengganu yang bawakan isu banjir. Gila kuasa sahaja mereka. Semoga dipermudahkan kepada rakyat kelantan dan terengganu. Banjir akan lebih teruk lagi sehingga bulan 2 dan kalian tidak dapat bergantung langsung kepada orangorang yang kalian undi.",UCwGSGU_1HdwHFAPpUgQtASA,UgyzVr74oXxWiS6V-E94AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyzVr74oXxWiS6V-E94AaABAg
41,,"Sarbini Sahari","2022-12-19 08:18:48",5,no,no,"Ya Allah, turunkanlah hujan di sekitar kami dan janganlah ditimpakan bencana ke atas kami. Ya Allah, turunkannya di dataran tinggi, bukit-bukit, lembah-lembah serta tempat tumbuhnya pokok-pokok.",UCb643iF4plB7SuecZ0xzTUA,UgzqE_yjldwfvoZbWj54AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzqE_yjldwfvoZbWj54AaABAg
42,,"Iwe Naeem","2022-12-19 08:49:28",1,no,no,"Mmg akan hujan banyak kali ni, sama juga negara barat akan salji berpanjangan. Dunia skrg dan sepatutnya sudah kembali memasuki zaman ais. Bersiap sedialah.",UCeohd5WcnEfDH4ylPF_mQYw,UgyX8XySapA0Z4H4l4B4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyX8XySapA0Z4H4l4B4AaABAg
43,,rudd,"2022-12-19 08:55:30",2,no,no,"Bala merasuah bersama ulamak",UCdnFkVP2BHs3qtJX_csCyyQ,UgxBOY8ilcpQMpudddB4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxBOY8ilcpQMpudddB4AaABAg
